Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
investment analyst,it,increasing,moderate,42109.76,master’s degree,5,1515,6342,55.96,28.28,uk,44.63
"journalist, newspaper",manufacturing,increasing,moderate,132298.57,master’s degree,15,1243,6205,16.81,89.71,usa,66.39
financial planner,finance,increasing,low,143279.19,bachelor’s degree,4,3338,1154,91.82,72.97,canada,41.13
legal secretary,healthcare,increasing,high,97576.13,associate degree,15,7173,4060,1.89,99.94,australia,65.76
aeronautical engineer,it,increasing,low,60956.63,master’s degree,13,5944,7396,53.76,37.65,germany,72.57
legal secretary,education,decreasing,low,39123.32,master’s degree,20,6985,7832,77.5,28.99,usa,46.91
"surveyor, insurance",manufacturing,decreasing,high,147150.03,high school,7,9738,4360,30.51,7.08,uk,20.14
dentist,entertainment,decreasing,high,64245.48,associate degree,0,1393,8206,9.74,2.49,canada,59.27
emergency planning/management officer,education,increasing,high,72488.15,high school,12,7729,4452,38.77,99.56,australia,60.56
visual merchandiser,manufacturing,decreasing,moderate,95840.3,associate degree,16,1127,2375,4.29,69.03,china,48.19
emergency planning/management officer,manufacturing,increasing,moderate,97133.62,bachelor’s degree,17,4627,1684,89.49,43.94,china,34.83
housing manager/officer,entertainment,decreasing,high,114672.3,high school,12,2800,7964,94.02,20.19,uk,31.9
"geologist, wellsite",entertainment,increasing,moderate,116427.68,phd,7,1852,3700,32.89,5.54,australia,56.02
"runner, broadcasting/film/video",healthcare,decreasing,moderate,43059.04,phd,2,1824,7625,55.6,13.12,australia,27.5
press photographer,entertainment,decreasing,moderate,137894.14,master’s degree,3,8312,9700,59.95,95.76,india,56.06
"biochemist, clinical",entertainment,increasing,moderate,67908.84,master’s degree,2,1872,5314,93.9,3.19,china,74.67
town planner,retail,decreasing,high,107318.63,associate degree,11,7251,1090,15.25,55.15,uk,23.99
"engineer, civil (consulting)",healthcare,decreasing,moderate,101322.09,associate degree,17,1044,8832,12.92,64.18,india,56.12
audiological scientist,transportation,increasing,low,109546.76,master’s degree,8,5379,8913,82.13,80.62,uk,38.87
"clinical scientist, histocompatibility and immunogenetics",manufacturing,decreasing,high,142660.31,master’s degree,2,2377,7307,4.29,16.88,india,56.57
music therapist,education,increasing,high,122569.29,high school,4,2661,5588,88.17,26.8,india,34.19
advertising copywriter,retail,decreasing,high,122668.89,bachelor’s degree,14,7291,7469,65.94,7.14,brazil,74.45
commercial horticulturist,education,decreasing,low,60874.45,associate degree,14,5892,369,43.78,95.96,uk,56.8
secondary school teacher,finance,increasing,moderate,49705.11,phd,4,5398,3531,20.77,60.11,germany,49.88
